´úÂë,¼Û¸ñ
002856,53.95
002857,27.33
002858,35.84
002859,32.19
002860,41.17
002861,26.93
002862,28.38
002863,16.0
002864,30.15
002865,23.25
002866,28.82
002867,28.69
002868,24.55
002869,31.58
002870,25.75
002871,34.25
002872,30.79
002873,42.3
002875,26.54
002876,68.27
002877,22.38
002878,36.93
002879,54.59
002880,53.62
002881,30.01
002882,13.77
002883,51.26
002884,50.88
002885,34.59
002886,33.9
002887,74.03
002888,26.57
002889,28.91
002890,33.43
002891,33.63
002892,40.1
002893,30.62
002895,27.7
002896,37.06
002897,37.3
002898,21.36
002899,30.0
002900,28.21
002901,36.51
002902,42.73
002903,39.38
002905,37.99
002906,22.46
002907,34.3
002908,32.03
002909,22.7
002910,24.2
002911,29.1
002912,138.17
002913,43.22
002915,44.85
002916,80.1
002917,29.83
002918,51.56
002919,34.68
002920,38.9
002921,33.37
002922,28.42
002923,39.94
002925,69.44
300001,13.78
300002,6.63
300003,27.0
300004,11.01
300005,5.91
300006,6.41
300007,13.91
300008,6.87
300009,26.0
300010,11.17
300011,10.91
300012,4.21
300013,14.54
300014,18.0
300015,35.3
300016,13.96
300017,13.33
300018,6.69
300019,9.88
300020,11.81
300021,6.39
300022,5.76
300023,12.0
300024,19.67
300025,5.99
300026,4.34
300027,10.28
300028,5.06
300029,7.72
300030,8.96
300031,15.39
300032,13.89
300033,60.89
300034,11.18
300035,7.12
300036,15.15
300037,20.45
300038,48.6
300039,6.73
300040,8.21
300041,9.83
300042,30.08
300043,6.54
300044,15.9
300045,11.05
300046,19.92
300047,12.14
300048,3.97
300049,13.35
300050,8.25
300051,11.04
300052,15.61
300053,15.65
300054,11.02
300055,19.48
300056,7.06
300057,9.98
300058,7.7
300059,16.39
300061,15.92
300062,6.78
300063,5.18
300064,13.34
300065,15.33
300066,4.57
300067,6.26
300068,14.67
300069,32.97
300070,16.69
300071,7.8
300072,39.0
300073,23.34
300074,8.4
300075,16.32
300076,5.96
300077,8.83
300078,9.95
300079,4.48
300080,6.02
300081,10.36
300082,7.09
300083,7.92
300084,7.22
300085,14.92
300086,10.8
300087,10.38
300088,7.6
300089,10.01
300090,9.24
300091,15.59
300092,8.09
300093,10.43
300094,7.14
300095,8.2
300096,11.83
300097,26.02
300098,12.77
300099,6.28
300100,14.81
300101,13.49
300102,8.55
300103,17.87
300104,11.18
300105,5.66
300106,7.9
300107,10.55
300108,8.88
300109,41.91
300110,15.91
300111,3.52
300112,10.28
300113,21.9
300114,9.79
300115,19.83
300116,7.62
300117,6.61
300118,12.19
300119,11.65
300120,12.79
300121,13.97
300122,33.45
300123,11.71
300124,28.35
300125,24.69
300126,6.77
300127,16.75
300128,10.39
300129,6.75
300130,25.14
300131,7.2
300132,8.15
300133,11.71
300134,16.45
300135,3.85
300136,33.37
300137,21.63
300138,12.29
300139,7.43
300140,13.78
300141,10.7
300142,19.83
300143,25.6
300144,19.5
300145,12.48
300146,16.71
300147,9.55
300148,8.64
300149,15.35
300150,5.48
300151,6.93
300152,6.73
300153,12.0
300154,6.4
300155,5.9
300156,17.9
300157,10.03
300158,14.98
300159,10.4
300160,7.61
300161,16.41
300162,8.1
300163,5.94
300164,7.33
300165,6.72
300166,12.45
300167,9.89
300168,13.94
300169,6.29
300170,13.5
300171,9.26
300172,7.97
300173,7.9
300174,28.69
300175,7.24
300176,134.59
300177,10.9
300178,13.92
300179,6.17
300180,24.06
300181,6.74
300182,10.12
300183,17.92
300184,12.07
300185,2.36
300187,10.87
300188,20.49
300189,3.64
300190,11.55
300191,22.51
300192,11.88
300193,7.89
300194,5.93
300195,14.16
300196,12.17
300197,11.2
300198,6.7
300199,14.77
300200,9.91
300201,6.69
300202,18.59
300203,27.22
300204,13.66
300205,9.98
300206,7.52
300207,10.33
300208,12.1
300209,18.71
300210,5.98
300211,7.03
